province,year,emission_per_gdp,clean_ratio,green_rate
重庆,2019,0.0065959189282100246,0.718930579579885,0.418
陕西,2005,0.030985090076205382,0.414031848502762,
陕西,2006,0.022457763228384393,0.453679096776774,0.362
陕西,2007,0.028441116186579768,0.52845034594241,0.377
陕西,2008,0.019792093400202843,0.5388606319221629,0.387
陕西,2009,0.024790247265536757,0.4999318295496719,0.3879999999999999
陕西,2010,0.02710437313331107,0.517204251106294,0.3829999999999999
陕西,2011,0.02375322554923816,0.518480698972572,0.387
陕西,2012,0.02740116883492456,0.513439239314616,0.4039999999999999
陕西,2013,0.026455326130571187,0.5258876749634089,0.402
陕西,2014,0.025214302547793516,0.531500827685079,0.405
陕西,2015,0.0291825178245713,0.523594078051042,0.406
陕西,2016,0.027682846880722017,0.552706019226617,0.401
陕西,2017,0.026234553032817298,0.573489482031686,0.3989999999999999
陕西,2018,0.024205587746179626,0.602843224590799,0.3879999999999999
陕西,2019,0.023515983444187198,0.616537566872864,0.3929999999999999
青海,2008,0.020666268868259136,0.5960454975622931,0.282
青海,2009,0.018637135822697687,0.580943211364196,0.29
青海,2010,0.01442703407303542,0.671596759710311,0.294
青海,2011,0.015548534043384292,0.699964907503147,0.311
青海,2012,0.0167727729725969,0.684376401335588,0.325
青海,2013,0.015984604937362677,0.687988835538883,0.312
青海,2014,0.014134714517965085,0.6915707846685559,0.316
青海,2015,0.011697226564401472,0.676391011890649,0.298
黑龙,2005,,,
黑龙,2006,,,
黑龙,2007,,,
黑龙,2008,,,
黑龙,2009,,,
黑龙,2010,,,
黑龙,2011,,,
黑龙,2012,,,
黑龙,2013,,,
黑龙,2014,,,
黑龙,2015,,,
黑龙,2016,,,
黑龙,2017,,,
黑龙,2018,,,
黑龙,2019,,,
上海,2020,0.004574392439504193,0.859637555746511,0.373
上海,2021,0.004066327032839425,0.870117182709939,0.377
上海,2022,0.003946077527030387,0.8627072508054741,0.381
云南,2020,0.002641204988731031,0.534626885662882,0.405
云南,2021,0.002188978224616338,0.563556934131358,0.425
云南,2022,0.0018963636853882356,0.5976832637295291,0.431
北京,2020,0.0023624803632780454,0.9893755973996126,0.49
北京,2021,0.002049858340332631,0.9931778217441344,0.493
北京,2022,0.0020098119796613198,0.9943625801136758,0.498
吉林,2020,0.005617038176862988,0.6864677821736991,0.4039999999999999
吉林,2021,0.004483565240334589,0.711077357733185,0.411
吉林,2022,0.0037462055672256183,0.718799556995608,0.427
四川,2020,0.002608620206640246,0.741908942824886,0.425
四川,2021,0.002201170421828454,0.76269943934651,0.431
四川,2022,0.001586049826901247,0.7951419041365511,0.435
天津,2020,0.008252284246930613,0.772990962035123,0.376
天津,2021,0.0063393944401350134,0.812369650578712,0.3829999999999999
天津,2022,0.005933122003408554,0.820658060765862,0.384
宁夏,2020,,0.475464991243787,
宁夏,2021,,0.470309880264072,
宁夏,2022,,0.486396376930878,
安徽,2020,0.010221293915195927,0.600973748088807,0.42
安徽,2021,0.008272309373550805,0.625536219534625,0.441
安徽,2022,0.006658931237453488,0.6522768208088949,0.4529999999999999
山东,2020,0.009553971877342797,0.697645687032457,0.416
山东,2021,0.007989996701005836,0.726297143059889,0.43
山东,2022,0.007274410909092568,0.75069597211674,0.4379999999999999
山西,2020,0.018925488371767787,0.471787995393753,0.439
山西,2021,0.01723940079318714,0.475306303990052,0.437
山西,2022,0.010600270543268436,0.541284334141635,0.44
广东,2020,0.003850293974871751,0.826879066905744,0.435
广东,2021,0.002695118112968364,0.86546325297957,0.429
广东,2022,0.002635957632774425,0.860820733904631,0.446
广西,2020,,0.572143726781133,
广西,2021,,0.5822941282019001,
广西,2022,,0.586520353689046,
新疆,2020,,0.737519562421586,
新疆,2021,,0.739628203005714,
新疆,2022,,0.750735381393989,
江苏,2020,0.007094235088258206,0.701970632566771,0.435
江苏,2021,0.005916857288480196,0.723332114946224,0.437
江苏,2022,0.005767875350728958,0.7261331350172779,0.441
江西,2020,0.007802090083213368,0.593055689676989,0.4639999999999999
江西,2021,0.006272030707237595,0.623623295131492,0.469
