province,year,energy_index,eco_index,efficiency_index
湖南,2006,-1.0376304981216076,0.009979505326118243,0.3028093253375996
湖南,2007,-1.1384679513062583,0.017831662382083318,0.42971278190201073
湖南,2008,-0.9619894438255676,-0.11308834662243819,0.5468561679520678
湖南,2009,-0.7356668299442342,-0.14308324774175385,0.47523853678333433
湖南,2010,-0.37195335266167734,-0.25776963111323337,0.5106431872624768
湖南,2011,-0.39146926107107655,-0.4250125745225387,0.44706054569955095
湖南,2012,-0.381288870101857,-0.5246045697468154,0.7108411226216075
湖南,2013,-0.3071646567242378,-0.3982144978224983,0.6865459599184577
湖南,2014,-0.3701900013566119,-0.21106785135659478,0.9416070783150401
湖南,2015,-0.7921442799814,0.08794114832090875,0.7773153910493081
湖南,2016,-0.8884277192641136,0.1970903891973028,0.7858870989168066
湖南,2017,-1.2126562884730796,0.14362927587123148,0.681855724129925
湖南,2018,-0.9825107027902078,0.1519362497612744,0.9295760103800208
湖南,2019,-0.9231004531960144,-0.03226514564112032,1.0879874926451436
甘肃,2005,0.05724654068326246,,-0.8572150519808467
甘肃,2006,0.07842783195163773,-1.3182019308046742,-0.30084802711425135
甘肃,2007,-0.042428632801338996,-2.929965025156308,-0.2191345054216558
甘肃,2008,0.045757558789918655,-2.4329276732827148,-0.10659737897875318
甘肃,2009,0.21085118994719884,-2.021682123974678,-0.5300298532637274
甘肃,2010,-0.07679684027783959,-2.356750913035277,-0.43521793105380074
甘肃,2011,-0.1366346005487472,-2.564498950795511,-0.3220528991894467
甘肃,2012,-0.22428207551991527,-2.328254858660234,-0.300963665211848
甘肃,2013,0.022817582312270025,-1.798585174308277,-0.43056645191120296
甘肃,2014,-0.0758503751666803,-2.199388190223065,-0.5293317917971012
甘肃,2015,-0.1469739892125457,-2.3277916007354142,-0.43455085205721583
甘肃,2016,-0.08214112055980216,-2.5621750595649346,0.2804700992229312
甘肃,2018,0.10879674968587068,-2.35501187129973,0.451824562474566
甘肃,2019,0.047954242029406714,-1.9497366580277884,0.6231279238856875
福建,2005,0.07713945917286848,,1.2052363417592749
福建,2006,0.081422632806699,0.42367536248161136,1.0146054019005397
福建,2007,0.18343558858584177,0.37669386782153996,0.6385716914247785
福建,2008,0.16366857051113745,0.6133259879883562,0.427957988479202
福建,2009,0.03475518231278483,0.4831163776692216,0.8078117394745592
福建,2010,0.20540945268370345,0.7143901205138184,0.6556275084971682
福建,2011,0.29371696913766143,0.6807893727646143,0.5899195590551956
福建,2012,0.23786511953302594,0.7637170651913403,0.6567319662659175
福建,2013,0.4676905812715857,0.9257723235822378,0.6395580222863892
福建,2014,0.7407032974760281,0.8595661772638118,0.5925120992713822
福建,2015,0.48861869807588254,0.9270904190457359,0.6663130082674259
福建,2016,0.5080054233181571,1.0157735443245588,0.8936590123756714
福建,2017,0.48902280127457676,1.0511768981345129,1.137133984784021
福建,2018,0.35012490425878684,1.1612270517468715,0.30898353993182265
福建,2019,0.35944679971617155,1.1845917756811897,0.1854646678461803
贵州,2005,-1.7241248214389788,,-0.14968224369307684
贵州,2006,-1.5458053223203652,-1.1440142014760455,-0.5311429541160961
贵州,2007,-1.309803189888566,-1.2894520860045073,-0.3337043847786294
贵州,2008,-1.147173460687331,-1.519051574901394,-1.2730023635585046
贵州,2009,-1.209491857239045,-2.0014821360581974,-1.527397715624673
贵州,2010,-1.470084406415699,-1.8043874177926347,-0.7352160831843882
贵州,2011,-1.4559766318438572,-1.5067753490425824,-0.1120211682680503
贵州,2012,-1.617484258791114,-1.6067947430948688,-0.7514162718476222
贵州,2013,-1.573856981041186,-1.1875143336599379,-1.0750090797948124
贵州,2014,-1.6126689191080184,-1.3836670255598973,-0.8777951621314997
贵州,2015,-1.5339902430252725,-0.878351951301621,-0.5244146295458192
贵州,2016,-1.4038336446552566,-0.9551303476484674,-0.22042876401736095
贵州,2017,-1.2866042644143851,-1.3810507295310792,0.09638468659291906
贵州,2018,-1.0040510641766536,-0.6945657131943888,0.5767195381169912
贵州,2019,-0.9690706055501591,-0.6960052845442005,0.11396050221498406
辽宁,2005,0.14921947664006852,,0.10769280604086756
辽宁,2006,0.06962256085762,0.4889957609798471,-0.3048024631443296
辽宁,2007,-0.18666424226946704,0.5048589411927745,-0.1985994422686724
辽宁,2008,-0.12554862599584993,0.42586422421782866,0.20798782696404625
辽宁,2009,-0.2241169151643646,0.20031654683845626,-0.5999281830819477
辽宁,2010,-0.011323979104523568,0.33878294374881945,-1.1955027114305348
辽宁,2011,0.06636023295699514,0.29616260849082016,-1.062461141152185
辽宁,2012,0.10412132956147603,0.2999212766136051,-0.9869893145176721
辽宁,2013,-0.1974675307619801,0.26377891287987043,-0.7699903307450543
辽宁,2014,-0.20094506654571628,0.17130144457926522,-0.8533891189904078
辽宁,2015,-0.07778515254968689,0.24051374299814748,0.047529923339389005
辽宁,2016,0.10236289625322005,-1.0764167410006538,0.177822018436377
辽宁,2017,0.03860491887570635,-0.037880248581424796,-0.11883574079770548
辽宁,2018,-0.10153875870503697,-0.2713147317165599,-0.07080511286687845
辽宁,2019,-0.12818377236802947,-0.1797629542862488,0.47177556818513544
重庆,2005,0.008835266398017867,,0.026258359403661422
重庆,2006,0.1730414870177062,-2.428648705274681,0.1388425551642491
重庆,2007,0.31897930906738337,-0.9562228952392976,0.2960156813125416
重庆,2008,-0.38052669136866485,-0.08965562615112224,0.10301818217396866
重庆,2009,-0.4362556956462927,0.24071652267142468,0.2317767030273867
重庆,2010,-0.44164920972625593,0.6260119612749967,0.18845219606947977
重庆,2011,-0.4258753233981054,0.39231929955927103,0.2093407070408884
重庆,2012,-0.4144679880683669,0.9956149594802085,0.2908180379165751
重庆,2013,-0.009200650771939113,0.6456981882850817,0.5901636524224386
重庆,2014,-0.10487910075916232,0.2987578765578852,0.4923331181935879
重庆,2015,-0.08156917253216342,0.24051374299814748,0.5192515163782105
重庆,2016,0.2488937492438978,0.2577335858733943,0.4523205715141583
重庆,2017,0.10889811193865105,-0.18308786814355182,0.3118405573435162
重庆,2018,0.20040441962069094,-0.10852589268662431,0.2639035884230571
重庆,2019,0.33560338987135324,0.1889815673265724,0.25179063105184124
陕西,2005,-0.5568991333839427,,-0.5407771175003975
陕西,2006,-0.2908141787113304,0.336581497817297,0.164263605537231
陕西,2007,0.06697007701711576,0.5561249705412683,-0.2831096480077604
陕西,2008,0.15303749159135627,0.5664605470457243,0.21417492597089988
陕西,2009,-0.06302985392258166,0.30131648642087167,-0.18545892197323136
陕西,2010,-0.12896684928671842,0.11783754565176197,-0.782726911164407
陕西,2011,-0.2069896525771005,0.031731708052590256,-0.6381653811060986
陕西,2012,-0.2835956057437114,0.35145414201112857,-1.1770203348548844
陕西,2013,-0.4244837439912418,0.26377891287987043,-1.217157669123695
陕西,2014,-0.4311311762188909,0.2732665901621612,-1.1735358062071826
陕西,2015,-0.5934072878265638,0.31680004033677106,-1.7218130627179304
陕西,2016,-0.4317344723303353,0.04548239750706988,-1.7597249854937151
